"Download personal data","Descargar datos personales"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Aquí puede descargar una copia de sus datos personales que almacenamos para su cuenta en formato CSV."
"Anonymise personal data","Anonimizar mis datos personales"
"Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login and password to your e-mail address. After this process, your e-mail address and all other personal data will be removed from the website.","El anonimato de sus datos personales significa que será reemplazado por información anónima no personal y antes de eso, obtendrá su nuevo nombre de usuario y contraseña en su dirección de correo electrónico. Después de este proceso, su dirección de correo electrónico y todos los demás datos personales se eliminarán del sitio web."
"I agree and I want to proceed","Estoy de acuerdo y quiero proceder"
"Delete account","Borrar cuenta"
"Request to remove your account, together with all your personal data, will be processed by our staff.<br>Deleting your account will remove all the purchase history, discounts, orders, invoices and all other information that might be related to your account or your purchases.<br>All your orders and similar information will be lost.<br>You will not be able to restore access to your account after we approve your removal request.","La solicitud para eliminar su cuenta, junto con todos sus datos personales, será procesada por nuestro personal.<br>Eliminar su cuenta eliminará todo el historial de compras, descuentos, pedidos, facturas y toda otra información que pueda estar relacionada con su cuenta o sus compras.<br>Todos sus pedidos e información similar se perderán.<br>No podrá restaurar el acceso a su cuenta después de que aprobemos su solicitud de eliminación."
"Request to remove your account, together with all your personal data, will be processed by our staff.","La solicitud para eliminar su cuenta, junto con todos sus datos personales, será procesada por nuestro personal."
"Deleting your account will remove all the purchase history, discounts, orders, invoices and all other information that might be related to your account or your purchases.","Eliminar su cuenta eliminará todo el historial de compras, descuentos, pedidos, facturas y toda otra información que pueda estar relacionada con su cuenta o sus compras."
"All your orders and similar information will be lost.","Todos sus pedidos e información similar se perderán."
"You will not be able to restore access to your account after we approve your removal request.","No podrá restaurar el acceso a su cuenta después de que aprobemos su solicitud de eliminación."
"I understand and I want to delete my account","Entiendo y quiero borrar mi cuenta"
"Submit request","Enviar peticion"
"I have read and accept","He leido y acepto"
"Privacy Policy","Políticas de Privacidad"
"Anonymisation was successful","La anonimización fue exitosa"
"Thank you, your account delete request was recorded.","Gracias, se registró tu solicitud de eliminación de cuenta."
