"Please update Amasty Base module. Re-upload it and replace all the files.","Actualice el módulo Amasty Base. Vuelva a cargarlo y reemplace todos los archivos."
"Add to cart","Añadir a la cesta"
"Free Items","Artículos gratis"
"We apologize, but requested quantity of free gift <strong>%1</strong> is not available at the moment","Pedimos disculpas, pero la cantidad solicitada de obsequio <strong>%1</strong> no está disponible en este momento"
"Free gift <strong>%1</strong> was added to your shopping cart","El regalo gratuito <strong>%1</strong> se agregó a su carrito de compras"
"Something went wrong. Please try again later.","Algo salió mal. Por favor, inténtelo de nuevo más tarde."
"We apologize, but products of type <strong>%1</strong> are not supported","Nos disculpamos, pero los productos del tipo <strong>%1</strong> no son compatibles"
"We apologize, but your free gift <strong>%1</strong> is not available at the moment","Pedimos disculpas, pero su obsequio <strong>%1</strong> no está disponible en este momento"
No,No
"Yes, free products only","Sí, solo productos gratuitos"
"Yes, discounted and free products","Sí, productos con descuento y gratuitos."
"Cart contents","Contenido del carrito"
"Product page","Página del producto"
"One By One","Uno a uno"
Multiple,Múltiple
"""
"" .","""
"" ."
"Auto add promo items with products","Agregar automáticamente artículos promocionales con productos"
"Auto add promo items for the whole cart","Agregar automáticamente artículos promocionales para todo el carrito"
"Auto add the same product","Añadir automáticamente el mismo producto"
"Auto add promo items for every $X spent","Agregar automáticamente artículos promocionales por cada $ X gastado"
"Add gift with each N-th product in the cart","Agregue un regalo con cada enésimo producto en el carrito"
"Automatically add products to cart","Agregar productos automáticamente al carrito"
"Promo Banner functionality","Funcionalidad de banner promocional"
"Amasty Promo Banners","Banners promocionales de Amasty"
"Configure Banners","Configurar pancartas"
"Not installed","No instalado"
"Users will see available promotions on vivid banners in cart, category pages, etc. See more details ","Los usuarios verán promociones disponibles en pancartas vívidas en el carrito, páginas de categorías, etc. Ver más detalles"
here,aquí
"Product Labels functionality","Funcionalidad de etiquetas de producto"
"Amasty Product Labels","Etiquetas de productos Amasty"
"Configure Labels","Configurar etiquetas"
"Add labels to products on sale to make them visible in catalog. See more details ","Agregue etiquetas a los productos en oferta para hacerlos visibles en el catálogo. Ver más detalles"
sample,muestra
"Select all","Seleccionar todo"
"Unselect all","Deselecciona todo"
" left"," izquierda"
" left)"," izquierda)"
"Choose an Option...","Elija una opción..."
"Each N-th","Cada enésimo"
"Number Of Gift Items","Cantidad de artículos de regalo"
"Discount Amount","Importe de descuento"
"Discount Qty Step (Buy X)","Descuento Cantidad Paso (Comprar X)"
"Free Gift","Regalo gratis"
Information,Información
General,General
"Add Simple/Virtual/Downloadable Products Automatically, Without Confirmation","Agregue productos simples / virtuales / descargables automáticamente, sin confirmación"
"Products will be added automatically only if there are no options to specify","Los productos se agregarán automáticamente solo si no hay opciones para especificar"
"Messages And Notifications Settings","Configuración de mensajes y notificaciones"
"Gifts Selection Method","Método de selección de regalos"
"Popup header text","Texto de encabezado emergente"
"""Add to Cart"" button text","""Agregar al carrito"" Texto del botón"
"Message For The Free Item In The Cart","Mensaje para el artículo gratis en el carrito"
"Prefix For The Free Item Name In The Order","Prefijo para el nombre del artículo gratuito en el pedido"
"Add Free Gift Message","Agregar mensaje de regalo gratis"
"Open Popup Automatically","Abrir ventana emergente automáticamente"
"Always open free gift popup on cart page if any free gift is available","Siempre abra la ventana emergente de obsequios gratuitos en la página del carrito si hay obsequios disponibles"
"Show Original Price in the Popup","Mostrar precio original en la ventana emergente"
"Display Error Messages","Mostrar mensajes de error"
"Display Success Messages","Mostrar mensajes de éxito"
"Display Remaining Gifts Counter","Mostrar contador de regalos restantes"
"Reminder about Available Promos","Recordatorio sobre promociones disponibles"
"Notification Message","Mensaje de notificación"
Limitations,Limitaciones
"Do not Offer Promos for Products with Special Price","No ofrezca promociones para productos con precios especiales"
"Do not Offer Promos for Configurable Products when Child has Special Price","No ofrezca promociones para productos configurables cuando el niño tenga un precio especial"
"Product Page Banners","Banners de página de producto"
"Validate condition based on","Validar condición basada en"
"Enable Top Banners","Habilitar banners principales"
"Enable After Product Description Banner","Habilitar después del banner de descripción del producto"
"Show One Banner Only","Mostrar solo un banner"
"Please select `No` to show all banners from matched rules.","Seleccione ""No"" para mostrar todos los banners de las reglas coincidentes."
"Gift Images","Imágenes de regalo"
"Gift Image Width (px)","Ancho de imagen de regalo (px)"
"Gift Image Height (px)","Altura de la imagen del regalo (px)"
"Product Attribute for Header","Atributo del producto para encabezado"
"Product Attribute for Description","Atributo del producto para la descripción"
"Apply tax on original price of promo items added for free","Aplicar impuestos sobre el precio original de los artículos promocionales agregados gratis"
"Apply shipping on promo items added for free","Aplicar envío en artículos promocionales agregados gratis"
"Promo Items","Artículos promocionales"
"Comma separated list of the SKUs","Lista separada por comas de los SKU"
Type,Tipo
"All SKUs below","Todos los SKU a continuación"
"One of the SKUs below","Una de las SKU a continuación"
"Promo Items With Discount","Artículos promocionales con descuento"
"Promo Items Discount","Descuento en artículos promocionales"
"Set fixed price (e.g. 20), fixed discount (e.g. -20) or a percent discount (e.g. 50%). Leave empty if you want to add product for free.","Establezca un precio fijo (por ejemplo, 20), un descuento fijo (por ejemplo, -20) o un porcentaje de descuento (por ejemplo, 50%). Deje en blanco si desea agregar un producto gratis."
"Minimal Price","Precio mínimo"
"Top Banner","Banner superior"
Image,Imagen
Alt,Alt
"On Hover Text","En texto emergente"
Link,Enlazar
"Show Gift images","Mostrar imágenes de regalo"
"After Product Description Banner","Después de la descripción del producto Banner"
"Product Label","Etiqueta del producto"
